"Case Number","Date",,"Address","Charge","Charge Description",,
20140425045,"4/25/2014 12:00:00AM",,"1899 WESTRIDGE RD/WHITEHURST RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140426039,"4/26/2014 12:00:00AM",,"299 S ELM ST/E WASHINGTON ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140429070,"4/30/2014 11:15:00AM",,"4198 W WENDOVER AV/MEADOWOOD ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140428232,"4/28/2014 12:00:00AM",,"4999 W MARKET ST/THORNTON CT","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140430015,"4/30/2014","2:17:00AM","1642 SPRING GARDEN ST","20-158(B)(1)(3","FAIL YIELD AT STOP SIGN/FLASHING RED LIGHT",,
20140501018,"5/1/2014","1:25:00AM","4198 SPRING GARDEN ST/POMONA DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140429079,"4/29/2014 12:00:00AM",,"899 PARK AV/SULLIVAN ST","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140430270,"4/30/2014 10:46:00PM",,"4200 HILLTOP RD/HIGH POINT RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140501248,"5/1/2014","2:57:00PM","6099 BALLINGER RD/GRETCHEN LN","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140501247,"5/1/2014","3:00:00PM","6099 BALLINGER RD/GRETCHEN LN","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140501409,"5/1/2014 11:13:00PM",,"1225 MERRITT DR/PATTERSON ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140426320,"4/26/2014 12:00:00AM",,"3207 BARDWELL RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140502279,"5/2/2014","8:33:00PM","4198 SPRING GARDEN ST/POMONA DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140502152,"5/2/2014","2:28:00PM","208 FRANKLIN BLVD/HAHNS LN","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140429002,"4/29/2014 12:00:00AM",,"1503 BRIDFORD PKWY/ABBINGTON PLACE APTS (DRIV","20-158(B)(1)(3","FAIL YIELD AT STOP SIGN/FLASHING RED LIGHT",,
20140429083,"4/29/2014 12:00:00AM",,"999 SUMMIT AV/E BESSEMER AV","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140429089,"4/29/2014 12:00:00AM",,"999 SUMMIT AV/E BESSEMER AV","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140429090,"4/29/2014 12:00:00AM",,"940 E BESSEMER AV","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140429111,"4/29/2014 12:00:00AM",,"6324 RIDGE HAVEN RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140429124,"4/29/2014 12:00:00AM",,"6318 RIDGE HAVEN RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140429286,"4/29/2014 12:00:00AM",,"2399 VANSTORY ST/FOUR SEASONS BLVD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140430192,"4/30/2014 12:00:00AM",,"799 GRANITE ST/SHERWOOD ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140503025,"5/3/2014","1:43:00AM","4198 SPRING GARDEN ST/POMONA DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140503215,"5/3/2014","8:57:00PM","4808 W MARKET ST/NORWALK ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140503199,"5/3/2014","7:29:00PM","4899 HILLTOP RD/STANLEY RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140504103,"5/4/2014","2:10:00PM","1199 EAGLE RD/PEPPER HILL RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140423161,"4/23/2014 12:00:00AM",,"599 E BESSEMER AV/YANCEYVILLE ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140504220,"5/4/2014 11:00:00PM",,"4818 SILVER BRIAR CT","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140430004,"4/30/2014 12:00:00AM",,"899 E WENDOVER AV/MAPLE ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140504193,"5/4/2014","8:45:00PM","2704 N CHURCH ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140425101,"4/25/2014 12:00:00AM",,"3199 HIGH POINT RD/PINECROFT RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140502023,"5/2/2014 12:00:00AM",,"599 W FLORIDA ST/ORCHARD ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140501194,"5/1/2014 12:00:00AM",,"799 BURBANK ST/E BRAGG ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
